# locus_id	locus_tag	location	classification	internal_stop	indel	ref_id	description	query_cov	ref_cov	identity
MGA_3	LOCUS_00030	sequence0001:2479..4341(-)	partial			WP_003899979.1	bifunctional GNAT family N-acetyltransferase/aminoglycoside 3'-phosphotransferase/choline kinase family protein	58.1	76.6	61.5
MGA_42	LOCUS_00420	sequence0001:43601..44836(-)	partial			WP_011726850.1	LuxR C-terminal-related transcriptional regulator	71.5	73.9	36.1
MGA_63	LOCUS_00630	sequence0001:62197..63417(+)	partial			WP_011727070.1	PPE family protein	41.6	32.3	50.3
MGA_69	LOCUS_00690	sequence0001:67168..67437(-)	partial			WP_001040568.1	elongation factor Tu	95.5	22.3	50.0
MGA_72	LOCUS_00720	sequence0001:68804..69817(-)	partial			WP_162496169.1	NADP-dependent oxidoreductase	97.9	74.4	50.9
MGA_78	LOCUS_00780	sequence0001:74442..74786(+)	partial			WP_012257279.1	LLM class F420-dependent oxidoreductase	92.1	42.8	45.9
MGA_95	LOCUS_00950	sequence0001:91040..92140(-)	partial			WP_066877136.1	FAD-binding oxidoreductase	20.8	17.1	40.8
MGA_102	LOCUS_01020	sequence0001:98252..99919(+)	partial			WP_010950639.1	PecA family PE domain-processing aspartic protease	55.3	54.8	67.1
MGA_109	LOCUS_01090	sequence0001:107826..108992(+)	partial			WP_223294576.1	DUF3179 domain-containing protein	71.9	80.2	23.2
MGA_110	LOCUS_01100	sequence0001:109133..111097(+)	partial			WP_011730586.1	LpqN/LpqT family lipoprotein	52.3	56.5	55.4
MGA_118	LOCUS_01180	sequence0001:121155..123746(+)	partial			WP_010886133.1	PE family protein	13.7	23.7	54.2
MGA_120	LOCUS_01200	sequence0001:124475..124798(-)	partial			WP_005089627.1	hypothetical protein	67.3	70.0	46.8
MGA_140	LOCUS_01400	sequence0001:149712..151043(+)	partial			WP_010950570.1	PE domain-containing protein	73.4	37.0	32.1
MGA_159	LOCUS_01590	sequence0001:168904..169302(-)	partial			WP_005056472.1	MerR family transcriptional regulator	50.0	71.7	65.2
MGA_171	LOCUS_01710	sequence0001:177200..178468(-)	partial			WP_011727070.1	PPE family protein	50.0	40.2	41.5
MGA_177	LOCUS_01770	sequence0001:183822..185732(-)	frameshift,internal_stop_codon	184262..184264(-),183821..183823(-),183815..183817(-)	184237	WP_014000955.1	PE family protein	18.9	18.8	67.5
MGA_195	LOCUS_01950	sequence0001:202661..211813(-)	partial			WP_010886138.1	type I polyketide synthase	100.0	72.9	80.9
MGA_199	LOCUS_01990	sequence0001:216427..217233(-)	frameshift		216444,217261	WP_003902238.1	apolipoprotein N-acyltransferase	95.5	29.3	82.4
MGA_200	LOCUS_02000	sequence0001:217259..219373(-)	frameshift		217261	WP_003902238.1	apolipoprotein N-acyltransferase	85.5	66.1	73.4
MGA_204	LOCUS_02040	sequence0001:222634..224268(+)	partial			WP_011057303.1	DUF389 domain-containing protein	37.9	59.8	30.6
MGA_232	LOCUS_02320	sequence0001:256347..256871(+)	partial			WP_010950962.1	hypothetical protein	64.4	73.2	42.9
MGA_238	LOCUS_02380	sequence0001:263311..263898(+)	frameshift,internal_stop_codon	263896..263898(+)	263976	WP_014001845.1	IS21 family transposase	98.5	47.2	54.4
MGA_239	LOCUS_02390	sequence0001:263960..264544(+)	frameshift,internal_stop_codon	263896..263898(+)	263979	WP_003414864.1	IS21-like element ISMbo1 family transposase	92.3	43.6	48.9
MGA_241	LOCUS_02410	sequence0001:265747..266283(+)	partial			WP_010950962.1	hypothetical protein	67.4	75.8	40.8
MGA_243	LOCUS_02430	sequence0001:267170..267709(+)	partial			WP_010950962.1	hypothetical protein	44.7	53.0	40.0
MGA_244	LOCUS_02440	sequence0001:269259..269879(+)	partial			WP_010950655.1	DUF5631 domain-containing protein	99.0	28.3	64.7
MGA_250	LOCUS_02500	sequence0001:277403..279997(-)	partial			WP_011727967.1	hypothetical protein	62.6	41.9	28.5
MGA_251	LOCUS_02510	sequence0001:280150..280659(+)	partial			WP_010950962.1	hypothetical protein	58.6	67.8	35.6
MGA_275	LOCUS_02750	sequence0001:306471..310613(-)	frameshift		308435,308477	WP_012296786.1	non-ribosomal peptide synthetase	79.6	40.5	59.2
MGA_277	LOCUS_02770	sequence0001:313801..>320090(-)	partial			WP_003900387.1	type I polyketide synthase	74.2	71.5	57.9
MGA_321	LOCUS_03200	sequence0002:55950..56924(-)	internal_stop_codon	55905..55907(-),55950..55952(-)		WP_000268883.1	prophage tail fiber N-terminal domain-containing protein	83.6	27.8	21.7
MGA_366	LOCUS_03650	sequence0002:107343..109196(+)	frameshift,internal_stop_codon	108671..108673(+),108640..108642(+),108670..108672(+),108641..108643(+)	109060,108552,108525,108720,109073,108724,109178,109179,108380,108446	WP_010950590.1	PPE family protein	91.4	53.3	55.7
MGA_369	LOCUS_03660	sequence0002:110191..110736(+)	frameshift		110099	WP_010950590.1	PPE family protein	97.2	16.7	64.8
MGA_440	LOCUS_04370	sequence0002:170852..171643(+)	frameshift		171571	WP_003418333.1	type VII secretion system ESX-4 subunit EccB4	91.3	50.9	59.2
MGA_441	LOCUS_04380	sequence0002:171597..172262(+)	frameshift		171571	WP_003418333.1	type VII secretion system ESX-4 subunit EccB4	91.9	42.3	61.4
MGA_478	LOCUS_04750	sequence0002:211893..212939(+)	partial			WP_003418011.1	anti-sigma D factor RsdA	67.0	75.9	64.8
MGA_505	LOCUS_05020	sequence0002:245242..247023(-)	frameshift		245244	WP_010886116.1	PE family protein	20.6	24.8	53.3
MGA_514	LOCUS_05110	sequence0002:255896..258343(+)	partial			WP_010974382.1	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	43.2	84.5	30.7
MGA_539	LOCUS_05360	sequence0002:295545..296870(-)	frameshift,internal_stop_codon	296864..296866(-)	296786,295747,296723,295671,296681,296779,296702	WP_010950436.1	PE family protein	13.2	7.3	70.7
