# locus_id	locus_tag	location	classification	internal_stop	indel	ref_id	description	query_cov	ref_cov	identity
MGA_24	LOCUS_00240	sequence0001:22238..22582(-)	frameshift		22604	WP_005092523.1	3-hydroxyacyl-CoA dehydrogenase family protein	88.6	34.4	60.4
MGA_25	LOCUS_00250	sequence0001:22509..23129(-)	frameshift		22604	WP_005092523.1	3-hydroxyacyl-CoA dehydrogenase family protein	78.2	55.4	42.4
MGA_37	LOCUS_00370	sequence0001:35601..35936(+)	partial			WP_003416932.1	Rv3235 family protein	100.0	52.6	67.9
MGA_41	LOCUS_00410	sequence0001:38508..40493(-)	frameshift		40666	WP_003900661.1	MFS transporter	99.7	62.9	70.1
MGA_42	LOCUS_00420	sequence0001:40391..41740(-)	frameshift		40666	WP_010950855.1	MFS transporter	71.5	30.6	72.6
MGA_52	LOCUS_00520	sequence0001:54840..55268(-)	frameshift		55294	WP_010886098.1	PecA family PE domain-processing aspartic protease	99.3	15.2	57.4
MGA_89	LOCUS_00880	sequence0002:8274..9788(+)	partial			WP_011727267.1	serine/threonine-protein kinase	56.5	57.7	64.3
MGA_92	LOCUS_00910	sequence0002:14812..17016(+)	partial			WP_010918464.1	cyanophycinase	36.5	66.7	29.5
MGA_108	LOCUS_01070	sequence0002:30715..31413(-)	partial			WP_003914321.1	DUF2567 domain-containing protein	70.3	84.5	60.1
MGA_136	LOCUS_01350	sequence0002:64142..64675(-)	partial			WP_003407722.1	signal peptidase II	81.9	71.8	95.9
MGA_140	LOCUS_01390	sequence0003:<1..717(+)	partial			WP_003414155.1	alpha/beta hydrolase family protein	99.6	42.2	86.5
MGA_141	LOCUS_01400	sequence0003:970..1269(+)	frameshift		1004	WP_003414153.1	LppA family lipoprotein	76.8	40.6	80.3
MGA_156	LOCUS_01550	sequence0003:16088..16537(+)	internal_stop_codon	16010..16012(+)		WP_003899476.1	Lrp/AsnC family transcriptional regulator	99.3	82.7	87.8
MGA_196	LOCUS_01940	sequence0004:182..1750(+)	partial			WP_003911027.1	PE family protein	27.2	32.3	62.0
MGA_222	LOCUS_02200	sequence0004:32100..32750(+)	internal_stop_codon	32748..32750(+)		WP_003400893.1	maltose alpha-D-glucosyltransferase	100.0	35.9	91.2
MGA_223	LOCUS_02210	sequence0004:32757..33884(+)	frameshift,internal_stop_codon	32748..32750(+)	33872	WP_003400893.1	maltose alpha-D-glucosyltransferase	99.2	61.4	91.1
MGA_238	LOCUS_02350	sequence0005:1291..2268(-)	partial			WP_003114566.1	oxidoreductase	68.9	76.1	36.0
MGA_243	LOCUS_02400	sequence0005:5804..6307(-)	partial			WP_013226322.1	MarR family winged helix-turn-helix transcriptional regulator	70.7	75.0	32.2
MGA_279	LOCUS_02760	sequence0005:43028..>43578(-)	partial			WP_003916655.1	PPE domain-containing protein	96.7	5.4	53.1
MGA_310	LOCUS_03070	sequence0006:28157..28702(-)	partial			WP_003408271.1	protein disulfide oxidoreductase	74.6	74.2	57.8
MGA_330	LOCUS_03240	sequence0007:5795..6685(+)	frameshift		6613	WP_003418333.1	type VII secretion system ESX-4 subunit EccB4	88.9	55.7	60.5
MGA_331	LOCUS_03250	sequence0007:6639..7304(+)	frameshift		6613	WP_003418333.1	type VII secretion system ESX-4 subunit EccB4	91.9	42.3	61.4
MGA_335	LOCUS_03290	sequence0007:14510..14995(+)	frameshift		14508	WP_003418324.1	type VII secretion-associated protein	87.6	34.9	75.2
MGA_345	LOCUS_03390	sequence0007:22026..22568(-)	partial			WP_003900057.1	DUF2510 domain-containing protein	49.4	52.5	55.1
MGA_373	LOCUS_03660	sequence0008:10296..11789(+)	partial			WP_010941286.1	glycosyltransferase family 2 protein	42.7	64.9	31.3
MGA_392	LOCUS_03850	sequence0008:31934..32734(-)	partial			WP_001977544.1	aldolase/citrate lyase family protein	66.9	64.8	27.5
MGA_400	LOCUS_03930	sequence0008:41412..42068(-)	partial			WP_001087865.1	class I SAM-dependent methyltransferase	77.1	72.5	38.1
MGA_439	LOCUS_04300	sequence0009:41096..41413(-)	internal_stop_codon	41573..41575(-),41468..41470(-)		WP_003898857.1	integration host factor, actinobacterial type	100.0	55.3	85.7
MGA_498	LOCUS_04870	sequence0011:21048..21548(-)	frameshift		21603	WP_003901551.1	PPE family protein	83.1	29.8	39.1
MGA_499	LOCUS_04880	sequence0011:21574..22401(-)	frameshift		21582	WP_003901551.1	PPE family protein	62.9	42.3	70.5
MGA_518	LOCUS_05070	sequence0012:3202..4968(-)	partial			WP_011729702.1	2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase	55.1	55.4	80.3
MGA_549	LOCUS_05380	sequence0012:38545..>39663(-)	partial			WP_014001171.1	long-chain fatty acid--CoA ligase	100.0	62.0	85.2
MGA_565	LOCUS_05540	sequence0013:12753..13052(+)	internal_stop_codon	13050..13052(+)		WP_003899064.1	chorismate mutase	88.9	43.7	64.8
MGA_566	LOCUS_05550	sequence0013:13444..13857(+)	partial			WP_003409420.1	resuscitation-promoting factor RpfC	95.6	73.9	60.9
MGA_572	LOCUS_05610	sequence0013:17744..22072(-)	partial			WP_163682492.1	non-ribosomal peptide synthetase	99.0	26.1	51.8
MGA_578	LOCUS_05670	sequence0013:28518..28694(+)	partial			WP_003895017.1	(2Fe-2S)-binding protein	79.3	66.7	67.4
MGA_592	LOCUS_05800	sequence0014:<1..953(+)	partial			WP_003404382.1	MFS transporter	82.3	60.2	52.9
MGA_603	LOCUS_05910	sequence0014:11424..11669(+)	frameshift		11603	WP_011730144.1	FAD-binding protein	64.2	9.2	55.6
MGA_660	LOCUS_06480	sequence0015:37572..38207(+)	partial			WP_003415107.1	DNA-binding protein HupB	51.7	50.9	97.2
MGA_665	LOCUS_06510	sequence0016:2202..2702(-)	frameshift		2905	WP_011729905.1	GNAT family N-acetyltransferase	100.0	40.9	49.4
MGA_666	LOCUS_06520	sequence0016:2627..3418(-)	frameshift		2905	WP_011729905.1	GNAT family N-acetyltransferase	63.5	41.1	65.9
MGA_706	LOCUS_06910	sequence0017:9081..9416(+)	partial			WP_010907580.1	zinc ribbon domain-containing protein	52.3	58.6	89.7
MGA_736	LOCUS_07190	sequence0018:7826..8389(-)	partial			WP_003403497.1	mycofactocin biosynthesis peptidyl-dipeptidase MftE	95.7	71.3	78.2
MGA_762	LOCUS_07440	sequence0019:267..524(+)	partial			WP_011729050.1	SRPBCC family protein	96.5	57.7	59.8
MGA_768	LOCUS_07500	sequence0019:11017..11676(+)	partial			WP_003414680.1	PPE family protein	98.6	49.5	55.1
MGA_769	LOCUS_07510	sequence0019:11731..12273(+)	internal_stop_codon	11674..11676(+)		WP_003901254.1	type VII secretion system ESX-5 target PPE25	78.3	36.4	46.8
MGA_772	LOCUS_07540	sequence0019:14137..14403(+)	partial			WP_003406566.1	DUF732 domain-containing protein	89.8	69.0	43.0
MGA_797	LOCUS_07780	sequence0020:4580..5164(-)	partial			WP_014877829.1	hypothetical protein	61.3	72.0	38.6
MGA_801	LOCUS_07820	sequence0020:10503..10826(+)	partial			WP_011015077.1	Hsp70 family protein	92.5	21.5	41.5
MGA_805	LOCUS_07860	sequence0020:14310..15107(+)	partial			WP_010957831.1	Gfo/Idh/MocA family oxidoreductase	52.5	27.7	32.4
MGA_809	LOCUS_07900	sequence0020:19252..19626(+)	partial			WP_003416005.1	TetR/AcrR family transcriptional regulator	92.7	56.9	61.7
MGA_819	LOCUS_08000	sequence0020:32043..32603(+)	partial			WP_010950451.1	PE family protein	43.5	9.7	44.4
MGA_820	LOCUS_08010	sequence0020:32710..33099(-)	partial			WP_003406566.1	DUF732 domain-containing protein	68.2	75.2	34.1
MGA_821	LOCUS_08020	sequence0020:33231..33920(-)	frameshift		34072	WP_085976166.1	IS3 family transposase	98.7	59.3	46.1
MGA_832	LOCUS_08120	sequence0021:8832..9236(+)	partial			WP_003406258.1	anti-sigma E factor RseA	84.3	73.4	84.1
MGA_839	LOCUS_08190	sequence0021:15956..16624(-)	partial			WP_010950507.1	DUF4190 domain-containing protein	37.4	41.9	68.7
MGA_881	LOCUS_08610	sequence0022:28271..29002(+)	partial			WP_235624115.1	hypothetical protein	67.1	81.2	56.0
MGA_884	LOCUS_08640	sequence0022:32590..33090(+)	internal_stop_codon	33088..33090(+)		WP_003899112.1	CAP domain-containing protein	85.5	64.3	74.6
MGA_891	LOCUS_08700	sequence0023:3968..4702(-)	partial			WP_003407157.1	membrane protein	75.0	70.1	41.5
MGA_893	LOCUS_08720	sequence0023:5297..5587(-)	partial			WP_003417257.1	pilin structural subunit Mtp	66.7	60.2	60.9
MGA_907	LOCUS_08860	sequence0023:16615..17196(+)	partial			WP_003407152.1	membrane protein	74.1	65.0	62.9
MGA_963	LOCUS_09410	sequence0025:11314..11850(+)	partial			WP_010970164.1	DNA ligase D	83.7	17.3	48.0
MGA_980	LOCUS_09580	sequence0026:<1..585(+)	partial			WP_010950436.1	PE family protein	42.8	10.4	48.2
MGA_983	LOCUS_09610	sequence0026:3780..4247(-)	partial			WP_157890372.1	(2Fe-2S)-binding protein	98.1	71.2	77.0
MGA_985	LOCUS_09630	sequence0026:4571..5482(+)	frameshift		4557	WP_003402684.1	HAD-IB family hydrolase	93.1	76.7	85.7
MGA_994	LOCUS_09720	sequence0026:12554..12829(-)	frameshift		12860	WP_003402426.1	hypothetical protein	92.3	27.1	75.0
MGA_995	LOCUS_09730	sequence0026:12732..13634(-)	frameshift		12860	WP_003402426.1	hypothetical protein	82.0	72.9	46.7
MGA_1025	LOCUS_10010	sequence0027:16075..16608(+)	frameshift		16009	WP_003898829.1	DUF2017 domain-containing protein	97.7	80.7	77.8
MGA_1062	LOCUS_10380	sequence0028:29351..29818(-)	partial			WP_005479856.1	2,4'-dihydroxyacetophenone dioxygenase family protein	57.4	54.7	36.6
MGA_1077	LOCUS_10520	sequence0029:13871..14470(+)	partial			WP_013226070.1	TetR/AcrR family transcriptional regulator	42.2	40.0	46.4
MGA_1117	LOCUS_10910	sequence0030:25895..26710(+)	partial			WP_045843938.1	hypothetical protein	60.9	73.3	77.0
MGA_1135	LOCUS_11090	sequence0031:15846..16385(+)	partial			WP_003412998.1	B-4DMT family transporter	74.9	58.3	78.4
MGA_1149	LOCUS_11230	sequence0031:28990..29751(+)	frameshift		28870	WP_003899377.1	DUF2189 domain-containing protein	90.1	70.2	63.6
MGA_1166	LOCUS_11390	sequence0032:17585..18151(-)	partial			WP_003973221.1	GNAT family N-acetyltransferase	90.4	74.0	48.0
MGA_1194	LOCUS_11660	sequence0033:23136..23714(+)	frameshift,internal_stop_codon	23712..23714(+),23099..23101(+)	23049,23131	WP_003400998.1	PE-PPE domain-containing protein	100.0	32.7	52.6
MGA_1195	LOCUS_11670	sequence0033:23739..24788(+)	internal_stop_codon	23712..23714(+)		WP_003400998.1	PE-PPE domain-containing protein	99.1	58.8	74.6
MGA_1221	LOCUS_11910	sequence0034:19663..20343(-)	partial			WP_013225629.1	hypothetical protein	41.2	75.2	33.3
MGA_1225	LOCUS_11950	sequence0034:25329..26060(+)	frameshift		25985	WP_003413610.1	hypothetical protein	86.4	56.1	68.6
MGA_1226	LOCUS_11960	sequence0034:26048..26416(+)	frameshift		25985	WP_003413610.1	hypothetical protein	100.0	32.6	67.2
