locus_tag	ftype	length_bp	gene	EC_number	COG	product
PCHFIHDH_00001	CDS	636	gpm2	3.1.3.2	COG0406	Acid phosphatase
PCHFIHDH_00002	CDS	975	menF_1	5.4.4.2	COG1169	Putative isochorismate synthase MenF
PCHFIHDH_00003	CDS	483				hypothetical protein
PCHFIHDH_00004	CDS	426				hypothetical protein
PCHFIHDH_00005	CDS	966	yegS_1	2.7.1.-		lipid kinase YegS
PCHFIHDH_00006	CDS	255	whiB1			Transcriptional regulator WhiB1
PCHFIHDH_00007	CDS	1500	pdtaS	2.7.13.3	COG3920	putative sensor histidine kinase pdtaS
PCHFIHDH_00008	CDS	240			COG0511	Biotinylated protein TB7.3
PCHFIHDH_00009	CDS	306	rshA			Anti-sigma factor RshA
PCHFIHDH_00010	CDS	768	sigH		COG1595	ECF RNA polymerase sigma factor SigH
PCHFIHDH_00011	CDS	849				hypothetical protein
PCHFIHDH_00012	CDS	456	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
PCHFIHDH_00013	CDS	2133				hypothetical protein
PCHFIHDH_00014	CDS	348	espL_1			ESX-1 secretion-associated protein EspL
PCHFIHDH_00015	CDS	1521	espB_1			ESX-1 secretion-associated protein EspB
PCHFIHDH_00016	CDS	570				hypothetical protein
PCHFIHDH_00017	CDS	615	espD_1			ESX-1 secretion-associated protein EspD
PCHFIHDH_00018	CDS	315				hypothetical protein
PCHFIHDH_00019	CDS	1299				hypothetical protein
PCHFIHDH_00020	CDS	2730				hypothetical protein
PCHFIHDH_00021	CDS	177				hypothetical protein
PCHFIHDH_00022	CDS	1308				hypothetical protein
PCHFIHDH_00023	CDS	261	hbd	1.1.1.157	COG1250	3-hydroxybutyryl-CoA dehydrogenase
PCHFIHDH_00024	CDS	621	lcdH	1.1.1.108		L-carnitine dehydrogenase
PCHFIHDH_00025	CDS	783	yedK	3.4.-.-	COG2135	SOS response-associated protein YedK
PCHFIHDH_00026	CDS	1296	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
PCHFIHDH_00027	CDS	993	rsgA	3.6.1.-		Small ribosomal subunit biogenesis GTPase RsgA
PCHFIHDH_00028	CDS	474				hypothetical protein
PCHFIHDH_00029	CDS	1017	fadA_1	2.3.1.-	COG0183	Putative acyltransferase
PCHFIHDH_00030	CDS	1287	desA3_1	1.14.19.-	COG3239	NADPH-dependent stearoyl-CoA 9-desaturase
PCHFIHDH_00031	CDS	1287	desA3_2	1.14.19.-	COG3239	NADPH-dependent stearoyl-CoA 9-desaturase
PCHFIHDH_00032	CDS	1155		1.-.-.-	COG1018	NADPH oxidoreductase
PCHFIHDH_00033	CDS	501				hypothetical protein
PCHFIHDH_00034	CDS	873	ppk2	2.7.4.-	COG2326	Polyphosphate:GDP phosphotransferase
PCHFIHDH_00035	CDS	1419				hypothetical protein
PCHFIHDH_00036	CDS	336				hypothetical protein
PCHFIHDH_00037	CDS	1146	khtU		COG0475	K(+)/H(+) antiporter subunit KhtU
PCHFIHDH_00038	CDS	483	khtT		COG0490	K(+)/H(+) antiporter subunit KhtT
PCHFIHDH_00039	CDS	756	mddA	2.1.1.334	COG2020	Methanethiol S-methyltransferase
PCHFIHDH_00040	CDS	1887			COG0664	putative NTE family protein
PCHFIHDH_00041	CDS	1350	mdtD_1			Putative multidrug resistance protein MdtD
PCHFIHDH_00042	CDS	2853	secA1		COG0653	Protein translocase subunit SecA 1
PCHFIHDH_00043	CDS	690	hpf		COG1544	Ribosome hibernation promotion factor
PCHFIHDH_00044	CDS	549	pyrE_1	2.4.2.10		Orotate phosphoribosyltransferase
PCHFIHDH_00045	CDS	831				hypothetical protein
PCHFIHDH_00046	CDS	1779	lpqB			Lipoprotein LpqB
PCHFIHDH_00047	CDS	1680	mtrB	2.7.13.3		Sensor histidine kinase MtrB
PCHFIHDH_00048	CDS	687	mtrA		COG0745	DNA-binding response regulator MtrA
PCHFIHDH_00049	CDS	654	tmk	2.7.4.9	COG0125	Thymidylate kinase
PCHFIHDH_00050	CDS	2085				putative PPE family protein PPE40
PCHFIHDH_00051	CDS	429				PE-PGRS family protein PE_PGRS16
PCHFIHDH_00052	CDS	1479	ahcY	3.3.1.1	COG0499	Adenosylhomocysteinase
PCHFIHDH_00053	CDS	651				hypothetical protein
PCHFIHDH_00054	CDS	183	rubA_1		COG1773	Rubredoxin
PCHFIHDH_00055	CDS	171	alkF_1			Rubredoxin-1
PCHFIHDH_00056	CDS	1251	alkB_1	1.14.15.3		Alkane 1-monooxygenase
